NEO_flag,One_km_NEO_flag,PHA_flag,H,G,Num_obs,rms,U,Epoch,M,Peri,Node,i,e,n,a,Num_opps,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type
0.0,0.0,0.0,13.1,0.15,103.0,0.34,0,2459200.5,344.55629,314.01941,90.24834,15.41367,0.0870525,0.08062292,5.3067713,9,2459392.05488,12.2249068,4.8448036,5.768739,2.6332779,1.0890876,Jupiter Trojan
0.0,0.0,0.0,18.6,0.15,55.0,0.23,1,2459000.5,249.7816,43.52649,198.4826,21.93044,0.044048,0.35009126,1.9938013,5,2459315.32768,2.8152879,1.9059783,2.0816243,0.9949664,1.5508768,Hungaria
0.0,0.0,0.0,16.2,0.15,271.0,0.51,0,2459200.5,158.12069,258.33392,346.74102,24.54951,0.1273829,0.28953639,2.26291,11,2458654.38302,3.4040891,1.974654,2.551166,1.1130956,1.415958,Phocaea
1.0,0.0,0.0,28.3,0.15,48.0,1.18,5,2459000.5,203.48888,229.67947,52.10439,7.17583,0.5825281,0.31812534,2.1252199,1,2459492.47948,3.098174,0.8872196,3.3632202,0.702025,1.4766049,Apollo
0.0,0.0,0.0,18.4,0.15,49.0,0.17,2,2459000.5,190.17642,40.31245,53.72448,25.0633,0.2434288,0.28133513,2.3066768,2,2459604.13453,3.5033225,1.7451652,2.8681884,1.0849944,1.3994691,Phocaea
0.0,0.0,0.0,14.5,0.15,48.0,0.23,0,2459000.5,233.04752,212.27064,163.034,3.72773,0.0629813,0.08151186,5.268118,7,2460557.97364,12.0915852,4.9363251,5.5999109,2.6236106,1.0901584,Jupiter Trojan
0.0,0.0,0.0,13.83,0.15,146.0,0.54,0,2459200.5,279.35299,86.53764,352.7015,17.91731,0.1201889,0.08362499,5.1789932,10,2460164.88991,11.7860427,4.5565357,5.8014507,2.5520904,1.0927124,Jupiter Trojan
0.0,0.0,0.0,19.4,0.15,32.0,0.1,1,2459000.5,84.95837,339.55513,315.07442,3.77307,0.3192224,0.25915722,2.4364669,2,2458672.67438,3.8031265,1.6586921,3.2142417,1.0940919,1.3567445,Object with perihelion distance < 1.665 AU
1.0,1.0,0.0,18.2,0.15,356.0,0.59,0,2459200.5,116.11641,313.84568,272.98965,10.41896,0.3947938,0.41520219,1.779493,9,2458920.83761,2.3738016,1.0769602,2.4820258,0.7510687,1.7279071,Amor
0.0,0.0,0.0,17.1,0.15,515.0,0.38,0,2459200.5,171.1048,315.92677,22.59277,4.08856,0.1326524,0.31215712,2.1522227,15,2458652.36318,3.1574088,1.8667252,2.4377202,1.0571754,1.463519,MBA
0.0,0.0,0.0,17.6,0.15,96.0,0.57,1,2459000.5,327.05477,132.15172,34.16685,7.71229,0.4337204,0.22359406,2.6884123,4,2459147.84398,4.4080226,1.522393,3.8544316,1.091343,1.2934253,Object with perihelion distance < 1.665 AU
0.0,0.0,0.0,16.9,0.15,41.0,0.18,0,2459000.5,126.1295,358.98762,65.30995,9.80059,0.1396666,0.17839795,3.125188,7,2458293.48775,5.5247702,2.6887036,3.5616724,1.5321129,1.2210057,MBA
1.0,0.0,0.0,24.1,0.15,56.0,0.33,5,2459000.5,114.69256,21.52868,337.0477,7.146,0.5509672,0.29633175,2.2281816,1,2458613.45886,3.3260278,1.0005266,3.4558366,0.775892,1.4299175,Amor
